"Station","Latitude","Longitude"
"073019","-34.8456"," 147.5714"
"057103","-30.0093"," 152.0101"
"094066","-42.9156"," 147.2464"
"075004","-35.2847"," 144.5334"
"059002","-30.6500"," 152.8486"
"038010","-22.9161"," 138.8042"
"039049","-23.4590"," 150.4557"
"029036","-19.8581"," 141.5567"
"040140","-27.1492"," 152.5781"
"069066","-36.9296"," 149.6460"
"069003","-36.6277"," 149.5706"
"041017","-26.7422"," 150.6033"
"029012","-18.2044"," 142.2447"
"050018","-32.2884"," 147.6671"
"054016","-29.4408"," 150.7858"
"041056","-28.3344"," 152.2953"
"019042","-32.8454"," 138.2116"
"050020","-33.2882"," 147.5364"
"078043","-36.1114"," 141.4182"
"090004","-38.4669"," 143.7482"
"041016","-27.5331"," 151.2025"
"048115","-31.4240"," 145.2539"
"004012","-20.1756"," 119.1908"
"037046","-22.2903"," 142.4731"
"006027","-25.0442"," 115.1331"
"004023","-20.4619"," 119.5189"
"046015","-31.4459"," 142.1352"
"029129","-21.2150"," 140.2333"
"040104","-27.9490"," 152.6235"
"047022","-32.4759"," 143.9396"
"038012","-24.8303"," 143.0586"
"029132","-20.1400"," 141.4300"
"052020","-28.9786"," 148.9899"
"038024","-25.4200"," 142.6594"
"050045","-33.8466"," 146.8271"
"029004","-17.7425"," 139.5475"
"074033","-34.8159"," 147.1996"
"075062","-34.8096"," 144.1654"
"005014","-21.7869"," 117.8647"
"041082","-27.7156"," 151.6333"
"048006","-29.1581"," 145.8068"
"044040","-26.1108"," 144.8728"
"042023","-26.6581"," 150.1844"
"035289","-24.8639"," 146.9478"
"036037","-22.5950"," 144.5469"
"051038","-31.8350"," 147.7189"
"085137","-38.7204"," 145.9011"
"029008","-20.7087"," 140.5182"
"091000","-41.5211"," 146.7158"
"019113","-31.4480"," 138.4531"
"070064","-35.6797"," 149.1601"
"018056","-33.4839"," 135.1592"
"055018","-31.1711"," 149.6456"
"090059","-38.0329"," 141.0183"
"024003","-34.1656"," 140.7536"
"045003","-26.9011"," 144.3386"
"079079","-36.7913"," 143.1207"
"082052","-35.9645"," 147.7374"
"017004","-28.8921"," 136.1688"
"007003","-26.0417"," 116.9528"
"047008","-32.4555"," 141.0785"
"050039","-32.2367"," 147.5538"
"082016","-36.7545"," 145.5727"
"052019","-29.3541"," 148.6895"
"050028","-32.9018"," 147.5224"
"082049","-36.6325"," 145.7181"
"020001","-31.9695"," 140.5436"
"068007","-34.0254"," 150.6455"
"093014","-42.3006"," 147.3711"
"086194","-38.4949"," 145.7809"
"016005","-32.3983"," 137.2269"
"055003","-30.9702"," 150.7354"
"021050","-33.1505"," 138.9196"
"016043","-31.6338"," 137.6218"
"026000","-37.4861"," 140.0115"
"039037","-24.7936"," 152.3594"
"080029","-36.1509"," 143.5182"
"017037","-29.2390"," 137.9058"
